Data,Vendedor,Região,Produto,Quantidade,Valor_Unitário,Valor_Total,Canal
2025-01-02,Maria Silva,Sul,Notebook,3,3500.00,10500.00,Loja
2025-01-02,João Santos,Sudeste,Monitor,5,899.00,4495.00,Online
2025-01-03,Pedro Costa,Nordeste,Teclado,12,189.00,2268.00,Loja
2025-01-03,Ana Oliveira,Sul,Notebook,2,3500.00,7000.00,Online
2025-01-04,Maria Silva,Sudeste,Monitor,4,899.00,3596.00,Loja
2025-01-04,João Santos,Sul,Mouse,20,79.00,1580.00,Online
2025-01-05,Pedro Costa,Nordeste,Notebook,1,3500.00,3500.00,Loja
2025-01-06,Ana Oliveira,Sudeste,Webcam,8,249.00,1992.00,Online
2025-01-06,Maria Silva,Sul,Teclado,7,189.00,1323.00,Loja
2025-01-07,João Santos,Nordeste,Monitor,6,899.00,5394.00,Online
2025-01-08,Pedro Costa,Sudeste,Mouse,15,79.00,1185.00,Loja
2025-01-08,Ana Oliveira,Sul,Notebook,4,3500.00,14000.00,Online
2025-01-09,Maria Silva,Nordeste,Webcam,5,249.00,1245.00,Loja
2025-01-10,João Santos,Sul,Teclado,10,189.00,1890.00,Online
2025-01-10,Pedro Costa,Sudeste,Notebook,2,3500.00,7000.00,Loja
2025-01-11,Ana Oliveira,Nordeste,Monitor,3,899.00,2697.00,Online
2025-01-12,Maria Silva,Sudeste,Mouse,25,79.00,1975.00,Loja
2025-01-12,João Santos,Sul,Webcam,6,249.00,1494.00,Online
2025-01-13,Pedro Costa,Nordeste,Notebook,1,3500.00,3500.00,Loja
2025-01-14,Ana Oliveira,Sudeste,Teclado,9,189.00,1701.00,Online
2025-01-15,Maria Silva,Sul,Monitor,7,899.00,6293.00,Loja
2025-01-15,João Santos,Nordeste,Mouse,18,79.00,1422.00,Online
2025-01-16,Pedro Costa,Sudeste,Notebook,3,3500.00,10500.00,Loja
2025-01-17,Ana Oliveira,Sul,Webcam,4,249.00,996.00,Online
2025-01-18,Maria Silva,Sudeste,Teclado,11,189.00,2079.00,Loja
2025-01-19,João Santos,Nordeste,Monitor,2,899.00,1798.00,Online
2025-01-20,Pedro Costa,Sul,Notebook,2,3500.00,7000.00,Loja
2025-01-21,Ana Oliveira,Sudeste,Mouse,22,79.00,1738.00,Online
2025-01-22,Maria Silva,Nordeste,Webcam,7,249.00,1743.00,Loja
2025-01-23,João Santos,Sul,Teclado,8,189.00,1512.00,Online
2025-01-24,Pedro Costa,Sudeste,Notebook,4,3500.00,14000.00,Loja
2025-01-25,Ana Oliveira,Nordeste,Monitor,5,899.00,4495.00,Online
2025-01-26,Maria Silva,Sul,Mouse,14,79.00,1106.00,Loja
2025-01-27,João Santos,Sudeste,Webcam,9,249.00,2241.00,Online
2025-01-28,Pedro Costa,Nordeste,Notebook,1,3500.00,3500.00,Loja
2025-01-29,Ana Oliveira,Sul,Teclado,13,189.00,2457.00,Online
2025-01-30,Maria Silva,Sudeste,Monitor,4,899.00,3596.00,Loja
